Molecular Weight,AlogP,#RO5 Violations,Standard Type,Smiles,Standard Value,Name,Predicted_Effectiveness
664.8148836415975,-1.8154735213765671,0,MIC,O=CN(O)C[C@@H](CC1CCCS1)C(=O)N1CC=C[C@H]1C(=O)Nc1ccc(F)cc1,3.13,Generated_Haemophilus_influenzae_001,0.6593168408615939
919.8623010176452,2.327793065945187,1,MIC50,C=C(C(C)C)N(C[C@H]1CN(c2ccc(N3CCN(C(C)=O)CC3)c(F)c2)C(=O)O1)C(=O)OC(C)C,128.0,Generated_Haemophilus_influenzae_002,0.9736342414854234
378.52853138551825,4.853991612305315,0,MIC90,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](SCO(Cl)c2ccccc2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](O)[C@H]1OC,0.06,Generated_Haemophilus_influenzae_003,0.8151421067187307
884.6241485470108,1.573769359082163,2,MIC,CC1(C)S[C@@H]2[C@H](NC(=O)CO(N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,2.0,Generated_Haemophilus_influenzae_004,0.8545796465617428
1022.5694069237261,3.7711848781617348,2,Selectivity ratio,CO[C@H]1CCCCCCCCC[C@@H](C)OC(N)(=O)CCC1(=O)O,2.0,Generated_Haemophilus_influenzae_005,0.9110137114248216
312.49928605885134,1.8458107105658337,0,MIC,CC(=O)c1ccc(-c2cc(N)c(N3C[C@H](Cn4ccnn4)OC3=O)cc2F)cn1,0.004,Generated_Haemophilus_influenzae_006,0.8558258982406299
687.0193738178011,-0.18690317837059123,0,MIC,CCCCCC(F)C(=O)N1CC(=O)/C(=C(\CCCCC(C)C)NC2CCCCC2)C1=O,0.06,Generated_Haemophilus_influenzae_007,0.8731896700037932
474.6460282646602,4.310322943463206,1,MIC,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)C(O)(O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(OC/C=N/OC)C[C@@H](C)C(=O)[C@H](C)N(O)[C@]1(C)O,2.0,Generated_Haemophilus_influenzae_008,0.8570500896040747
803.055563079096,0.4015957495026641,2,MIC,Cc1ccc(SC2CN(c3(F)c(F)cc4c(=O)c(C(=O)S)cn(C5CC5)c4c3F)C2)cc1,0.1,Generated_Haemophilus_influenzae_009,0.8908635222792066
528.2983852311469,4.159032225761988,0,MIC,Cl.Nc1c(F)c(N2CCC(N)(N)C2)nc2c1c(=O)c(C(=O)O)cn2C(CF)(CF)CF,2.0,Generated_Haemophilus_influenzae_010,0.8143195881516794
