Molecular Weight,AlogP,#RO5 Violations,Standard Type,Smiles,Standard Value,Name,Predicted_Effectiveness
186.9489917071038,1.68734911600568,3,MIC,CC(=O)NC[C@H]1CN(C2(O)CSC(/C=C(\Br)c3ccc(C(C)=O)s3)C(F)C2)C(=O)O1,0.5,Generated_Streptococcus_pneumoniae_001,0.8089835877316646
459.62571453269106,-0.41541366860461393,0,MIC,CC[C@H]1OC(=O)[C@H](C)[C@@H](OCC#Cc2cncnn2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)/C(=N\OCc2ccccc2Cl)[C@H](C)N2OC(=O)O[C@]12C,0.05,Generated_Streptococcus_pneumoniae_002,0.8680205871059481
695.2211872728085,0.8505876540320316,0,MIC,CC(=O)NC[C@@H]1OC(=O)N2c3ncc(-c4ccc(N)nc4)c(Cl)c3OC[C@@H]12,2.0,Generated_Streptococcus_pneumoniae_003,0.6742505401951924
583.4493079679181,5.083129145357002,2,MIC,CN(C)N1cncc(NC(=O)[C@@H]2CCCNN2C(=O)[C@H](CC2CCCC2)CN(O)C=O)n1,1.0,Generated_Streptococcus_pneumoniae_004,0.8160703323794554
250.59956764748023,-1.0654792917885505,0,MIC,CN1(F)CCN(c2cc3n(CCF)cc(C(=O)O)c(=O)c3(N)cc2F)CC1,0.016,Generated_Streptococcus_pneumoniae_005,0.8569410092035629
589.3341373423991,3.7394196581278285,2,MIC50,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)C2(O)O)O(C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(NCCCc3ccnc4ccc(OC)cc34)C(=O)O[C@]12C,0.12,Generated_Streptococcus_pneumoniae_006,0.9143913132781113
439.4872815736581,3.6117619492866666,2,MIC,COc1ccc2ccc(=O)n3C[C@@H](CN4CCC(NCc5nnc6OCCOc6S5)CC4)c1(Cl)c23,0.0156,Generated_Streptococcus_pneumoniae_007,0.8764980649001208
346.2864251561762,1.5971395878618373,2,MIC,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)C(N)C(C)(O)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)N(C)C[C@H](CCl)[C@@H](O)[C@]1(C)O,1.0,Generated_Streptococcus_pneumoniae_008,0.7853418230055136
284.6935045297211,1.7487882693879606,2,MIC,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)Cc2ccccn2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)/C(=N\OCC#Cc2cnc(N)nc2)[C@H](C)[C@H]2OC(=O)ON21C,0.5,Generated_Streptococcus_pneumoniae_009,0.8294696639172588
780.4406668259742,1.1950454574811649,0,MIC50,CCN(CC)C(=S)SSCc1(Cl)cccc(C)c1,0.25,Generated_Streptococcus_pneumoniae_010,0.8505206403859831
