Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Uo Units,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Value
CHEMBL100133,nan,,427.53,0.0,3.33,54,COc1ccccc1CC/N=C(\N)Nc1nc(-c2cc(CNC(C)=O)c(C)o2)cs1,MIC,'>',100.0,ug.mL-1,UO_0000274,0.0,CHEMBL754489,Antimicrobial activity against Neisseria meningitidis,F,BAO_0000218,organism-based format,Neisseria meningitidis,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,ORGANISM,CHEMBL1132323,1.0,Scientific Literature,J Med Chem,1999.0,100.0
CHEMBL1082,AMOXICILLIN,4.0,365.41,0.0,0.02,amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,MIC,'=',0.056,ug.mL-1,UO_0000274,0.0,CHEMBL750224,Antimicrobial activity was measured against Neisseria meningitidis organism; range is between (0.05-0.1).,F,BAO_0000218,organism-based format,Neisseria meningitidis,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,ORGANISM,CHEMBL1133633,1.0,Scientific Literature,J Med Chem,2000.0,0.056
CHEMBL1082,AMOXICILLIN,4.0,365.41,0.0,0.02,Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,MIC,'=',0.056,ug.mL-1,UO_0000274,0.0,CHEMBL754489,Antimicrobial activity against Neisseria meningitidis,F,BAO_0000218,organism-based format,Neisseria meningitidis,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,ORGANISM,CHEMBL1132323,1.0,Scientific Literature,J Med Chem,1999.0,0.056
CHEMBL1082,AMOXICILLIN,4.0,365.41,0.0,0.02,amoxicilln,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,MIC,'=',0.056,ug.mL-1,UO_0000274,0.0,CHEMBL754490,Compound was evaluated for antimicrobial activity against Neisseria meningitidis,F,BAO_0000218,organism-based format,Neisseria meningitidis,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,ORGANISM,CHEMBL1130815,1.0,Scientific Literature,Bioorg Med Chem Lett,1998.0,0.056
CHEMBL1120,BISMUTH SUBSALICYLATE,4.0,362.09,,,Bismuth salicylate,nan,MIC,'=',12.5,ug.mL-1,UO_0000274,0.0,CHEMBL754489,Antimicrobial activity against Neisseria meningitidis,F,BAO_0000218,organism-based format,Neisseria meningitidis,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,ORGANISM,CHEMBL1132323,1.0,Scientific Literature,J Med Chem,1999.0,12.5
CHEMBL1120,BISMUTH SUBSALICYLATE,4.0,362.09,,,Bismuth salicylate,nan,MIC,'=',12.5,ug.mL-1,UO_0000274,0.0,CHEMBL754490,Compound was evaluated for antimicrobial activity against Neisseria meningitidis,F,BAO_0000218,organism-based format,Neisseria meningitidis,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,ORGANISM,CHEMBL1130815,1.0,Scientific Literature,Bioorg Med Chem Lett,1998.0,12.5
CHEMBL112352,nan,,347.44,0.0,1.82,28,COCC/N=C(\N)Nc1nc(-c2cccc(CNC(C)=O)c2)cs1,MIC,'>',100.0,ug.mL-1,UO_0000274,0.0,CHEMBL750223,Antimicrobial activity was measured against Neisseria meningitidis organism.,F,BAO_0000218,organism-based format,Neisseria meningitidis,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,ORGANISM,CHEMBL1133633,1.0,Scientific Literature,J Med Chem,2000.0,100.0
CHEMBL1136,TELITHROMYCIN,4.0,812.02,2.0,4.93,Telithromycin,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,MIC,'<=',0.015,ug.mL-1,UO_0000274,0.0,CHEMBL1658621,Antimicrobial activity against Neisseria meningitidis by broth microdilution method,F,BAO_0000218,organism-based format,Neisseria meningitidis,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,ORGANISM,CHEMBL1649331,1.0,Scientific Literature,Antimicrob Agents Chemother,2010.0,0.015
CHEMBL1136,TELITHROMYCIN,4.0,812.02,2.0,4.93,5,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,MIC50,'<=',0.015,ug.mL-1,UO_0000274,0.0,CHEMBL1658621,Antimicrobial activity against Neisseria meningitidis by broth microdilution method,F,BAO_0000218,organism-based format,Neisseria meningitidis,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,ORGANISM,CHEMBL1649331,1.0,Scientific Literature,Antimicrob Agents Chemother,2010.0,0.015
CHEMBL1136,TELITHROMYCIN,4.0,812.02,2.0,4.93,Telithromycin,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,MIC90,'=',0.03,ug.mL-1,UO_0000274,0.0,CHEMBL1658621,Antimicrobial activity against Neisseria meningitidis by broth microdilution method,F,BAO_0000218,organism-based format,Neisseria meningitidis,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,ORGANISM,CHEMBL1649331,1.0,Scientific Literature,Antimicrob Agents Chemother,2010.0,0.03
CHEMBL1201760,BESIFLOXACIN,4.0,393.85,0.0,3.14,Besifloxacin,N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,MIC,'<=',0.004,ug.mL-1,UO_0000274,0.0,CHEMBL1665414,Antibacterial activity against Neisseria meningitidis by CLSI M7-A7 method,F,BAO_0000218,organism-based format,Neisseria meningitidis,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,ORGANISM,CHEMBL1649565,1.0,Scientific Literature,Antimicrob Agents Chemother,2009.0,0.004
CHEMBL1201760,BESIFLOXACIN,4.0,393.85,0.0,3.14,Besifloxacin,N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,MIC50,'=',0.008,ug.mL-1,UO_0000274,0.0,CHEMBL1665414,Antibacterial activity against Neisseria meningitidis by CLSI M7-A7 method,F,BAO_0000218,organism-based format,Neisseria meningitidis,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,ORGANISM,CHEMBL1649565,1.0,Scientific Literature,Antimicrob Agents Chemother,2009.0,0.008
CHEMBL1201760,BESIFLOXACIN,4.0,393.85,0.0,3.14,Besifloxacin,N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,MIC90,'=',0.015,ug.mL-1,UO_0000274,0.0,CHEMBL1665414,Antibacterial activity against Neisseria meningitidis by CLSI M7-A7 method,F,BAO_0000218,organism-based format,Neisseria meningitidis,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,ORGANISM,CHEMBL1649565,1.0,Scientific Literature,Antimicrob Agents Chemother,2009.0,0.015
CHEMBL1232510,SOLITHROMYCIN,3.0,845.02,2.0,4.6,CEM-101,CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cc(-c4cccc(N)c4)nn3)C(=O)O[C@]12C,MIC,'<=',0.015,ug.mL-1,UO_0000274,0.0,CHEMBL1658621,Antimicrobial activity against Neisseria meningitidis by broth microdilution method,F,BAO_0000218,organism-based format,Neisseria meningitidis,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,ORGANISM,CHEMBL1649331,1.0,Scientific Literature,Antimicrob Agents Chemother,2010.0,0.015
