Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Uo Units,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Value
CHEMBL100449,nan,,327.32,0,1.51,60,CC(=O)NC[C@H]1CC(c2ccc(-n3cc(C#N)cn3)c(F)c2)=NO1,MIC,'=',16,ug.mL-1,UO_0000274,0,CHEMBL692972,In vitro minimum inhibitory concentration (MIC) against Haemophilus influenzae UC30063,F,BAO_0000218,organism-based format,Haemophilus influenzae,CHEMBL355,Haemophilus influenzae,Haemophilus influenzae,ORGANISM,CHEMBL1144880,1,Scientific Literature,J Med Chem,2003,16
CHEMBL1010,CEFOTAXIME SODIUM,4,477.46,1,-0.62,1,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1.[Na+],MIC,'<',0.03,ug.mL-1,UO_0000274,0,CHEMBL695870,Minimum inhibitory concentration required for antibacterial activity against Haemophilus influenzae NEMC1,F,BAO_0000218,organism-based format,Haemophilus influenzae,CHEMBL355,Haemophilus influenzae,Haemophilus influenzae,ORGANISM,CHEMBL1151580,1,Scientific Literature,Bioorg Med Chem Lett,1993,0.03
CHEMBL1010,CEFOTAXIME SODIUM,4,477.46,1,-0.62,1,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1.[Na+],MIC,'<',0.03,ug.mL-1,UO_0000274,0,CHEMBL695871,Minimum inhibitory concentration required for antibacterial activity against Haemophilus influenzae Q1,F,BAO_0000218,organism-based format,Haemophilus influenzae,CHEMBL355,Haemophilus influenzae,Haemophilus influenzae,ORGANISM,CHEMBL1151580,1,Scientific Literature,Bioorg Med Chem Lett,1993,0.03
CHEMBL101000,nan,,403.47,1,5.8,6,CSCC(=O)N(CCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,MIC,'>',128,ug.mL-1,UO_0000274,0,CHEMBL696269,Evaluated for its antibacterial activity against Haemophilus influenzae 30063,F,BAO_0000218,organism-based format,Haemophilus influenzae,CHEMBL355,Haemophilus influenzae,Haemophilus influenzae,ORGANISM,CHEMBL1133840,1,Scientific Literature,Bioorg Med Chem Lett,2001,128
CHEMBL101153,nan,,919.12,2,3.54,6,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](OC(=O)NCCc3ccccc3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,MIC,'=',16,ug.mL-1,UO_0000274,0,CHEMBL692965,In vitro antibacterial activity against ampicillin resistant Haemophilus influenzae 33929,F,BAO_0000218,organism-based format,Haemophilus influenzae,CHEMBL355,Haemophilus influenzae,Haemophilus influenzae,ORGANISM,CHEMBL1148318,1,Scientific Literature,J Med Chem,2004,16
CHEMBL1013,LORACARBEF ANHYDROUS,4,349.77,0,0.71,2,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1,MIC,'=',0.5,ug.mL-1,UO_0000274,0,CHEMBL690586,In vitro inhibitory activity against Haemophilus influenza C.L,F,BAO_0000218,organism-based format,Haemophilus influenzae,CHEMBL355,Haemophilus influenzae,Haemophilus influenzae,ORGANISM,CHEMBL1124793,1,Scientific Literature,J Med Chem,1990,0.5
CHEMBL101484,nan,,355.41,0,2.64,46,C/C(S)=N/C[C@H]1CC(c2cc(F)c(N3CCOCC3)c(F)c2)=NO1,MIC,'=',16,ug.mL-1,UO_0000274,0,CHEMBL692972,In vitro minimum inhibitory concentration (MIC) against Haemophilus influenzae UC30063,F,BAO_0000218,organism-based format,Haemophilus influenzae,CHEMBL355,Haemophilus influenzae,Haemophilus influenzae,ORGANISM,CHEMBL1144880,1,Scientific Literature,J Med Chem,2003,16
CHEMBL101583,nan,,453.38,1,5.96,4,O=C(CC(=O)C(F)(F)F)N(CCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,MIC,'=',8,ug.mL-1,UO_0000274,0,CHEMBL696269,Evaluated for its antibacterial activity against Haemophilus influenzae 30063,F,BAO_0000218,organism-based format,Haemophilus influenzae,CHEMBL355,Haemophilus influenzae,Haemophilus influenzae,ORGANISM,CHEMBL1133840,1,Scientific Literature,Bioorg Med Chem Lett,2001,8
CHEMBL101765,nan,,315.34,1,5.51,13,FC(F)(F)c1cccc(CCNc2ccc3ccccc3c2)c1,MIC,'=',4,ug.mL-1,UO_0000274,0,CHEMBL696269,Evaluated for its antibacterial activity against Haemophilus influenzae 30063,F,BAO_0000218,organism-based format,Haemophilus influenzae,CHEMBL355,Haemophilus influenzae,Haemophilus influenzae,ORGANISM,CHEMBL1133840,1,Scientific Literature,Bioorg Med Chem Lett,2001,4
CHEMBL101837,nan,,316.23,1,5.8,8,Clc1ccc(CCNc2cccc3ccccc23)c(Cl)c1,MIC,'=',1,ug.mL-1,UO_0000274,0,CHEMBL696269,Evaluated for its antibacterial activity against Haemophilus influenzae 30063,F,BAO_0000218,organism-based format,Haemophilus influenzae,CHEMBL355,Haemophilus influenzae,Haemophilus influenzae,ORGANISM,CHEMBL1133840,1,Scientific Literature,Bioorg Med Chem Lett,2001,1
CHEMBL101839,nan,,307.39,0,4.51,10,COc1ccc(OC)c(CCNc2cccc3ccccc23)c1,MIC,'=',32,ug.mL-1,UO_0000274,0,CHEMBL696269,Evaluated for its antibacterial activity against Haemophilus influenzae 30063,F,BAO_0000218,organism-based format,Haemophilus influenzae,CHEMBL355,Haemophilus influenzae,Haemophilus influenzae,ORGANISM,CHEMBL1133840,1,Scientific Literature,Bioorg Med Chem Lett,2001,32
CHEMBL101931,nan,,419.47,0,4.81,7,C[S+]([O-])CC(=O)N(CCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,MIC,'>',128,ug.mL-1,UO_0000274,0,CHEMBL696269,Evaluated for its antibacterial activity against Haemophilus influenzae 30063,F,BAO_0000218,organism-based format,Haemophilus influenzae,CHEMBL355,Haemophilus influenzae,Haemophilus influenzae,ORGANISM,CHEMBL1133840,1,Scientific Literature,Bioorg Med Chem Lett,2001,128
