Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Uo Units,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Properties,Value
CHEMBL1010,CEFOTAXIME SODIUM,4.0,477.46,1.0,-0.62,1,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1.[Na+],MIC,'=',0.12,ug.mL-1,UO_0000274,0.0,CHEMBL809357,Minimum inhibitory concentration required for antibacterial activity against Streptococcus agalactiae 2798,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1151580,1.0,Scientific Literature,Bioorg Med Chem Lett,1993.0,nan,0.12
CHEMBL1082,AMOXICILLIN,4.0,365.41,0.0,0.02,Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,MIC,'=',0.031,ug.mL-1,UO_0000274,0.0,CHEMBL1665816,Antimicrobial activity against Streptococcus agalactiae clinical isolates by agar dilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1649463,1.0,Scientific Literature,Antimicrob Agents Chemother,2009.0,nan,0.031
CHEMBL1082,AMOXICILLIN,4.0,365.41,0.0,0.02,Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,MIC50,'=',0.063,ug.mL-1,UO_0000274,0.0,CHEMBL1665816,Antimicrobial activity against Streptococcus agalactiae clinical isolates by agar dilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1649463,1.0,Scientific Literature,Antimicrob Agents Chemother,2009.0,nan,0.063
CHEMBL1082,AMOXICILLIN,4.0,365.41,0.0,0.02,Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,MIC90,'=',0.125,ug.mL-1,UO_0000274,0.0,CHEMBL1665816,Antimicrobial activity against Streptococcus agalactiae clinical isolates by agar dilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1649463,1.0,Scientific Literature,Antimicrob Agents Chemother,2009.0,nan,0.125
CHEMBL1082,AMOXICILLIN,4.0,365.41,0.0,0.02,AM,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,MIC,'<=',200.0,nM,UO_0000065,0.0,CHEMBL3587434,Antibacterial activity against Streptococcus agalactiae CIP 103227 after 18 hrs by agar dilution method,F,BAO_0000019,assay format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL3585281,1.0,Scientific Literature,J Nat Prod,2015.0,nan,0.2
CHEMBL1082,AMOXICILLIN,4.0,365.41,0.0,0.02,AMX,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,MIC90,'=',0.06,ug.mL-1,UO_0000274,0.0,CHEMBL809364,In vitro Anti Bacterial Activity (MIC90) against 90% of tested clinical Isolates of Streptococcus agalactiaeB(21),F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1128718,1.0,Scientific Literature,J Med Chem,1995.0,nan,0.06
CHEMBL1082,AMOXICILLIN,4.0,365.41,0.0,0.02,Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,MIC90,'=',0.06,ug.mL-1,UO_0000274,0.0,CHEMBL809367,In vitro antibacterial activity against Streptococcus agalactiae B,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1128849,1.0,Scientific Literature,Bioorg Med Chem Lett,1995.0,nan,0.06
CHEMBL1082479,nan,,450.29,1.0,6.93,17,Fc1ccc(-c2nc(-c3c[nH]c4ccc(Br)cc34)[nH]c2-c2ccc(F)cc2)cc1,MIC,'=',2.0,ug.mL-1,UO_0000274,0.0,CHEMBL1118826,Antimicrobial activity against Streptococcus agalactiae ATCC 13813,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1158609,1.0,Scientific Literature,Bioorg Med Chem Lett,2010.0,nan,2.0
CHEMBL1087542,nan,,547.63,2.0,-3.98,GNS,CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.O=S(=O)(O)O,MIC,'=',10.0,ug.mL-1,UO_0000274,0.0,CHEMBL5126046,Antibacterial activity against Streptococcus agalactiae ATCC 13813 assessed as reduction in microbial growth after 12 hrs by microbroth dilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL5120959,1.0,Scientific Literature,J Nat Prod,2022.0,TIME = 12.0 hr,10.0
CHEMBL1096938,nan,,472.6,1.0,5.46,MBX-1162,c1cc2cc(-c3ccc(-c4cc5ccc(C6=NCCCN6)cc5[nH]4)cc3)[nH]c2cc1C1=NCCCN1,MIC,'=',0.03,ug.mL-1,UO_0000274,0.0,CHEMBL1678016,Antimicrobial activity against Streptococcus agalactiae by broth microdilution method,F,BAO_0000218,organism-based format,Streptococcus agalactiae,CHEMBL614622,Streptococcus agalactiae,Streptococcus agalactiae,ORGANISM,CHEMBL1671722,1.0,Scientific Literature,Antimicrob Agents Chemother,2010.0,nan,0.03
