Name,SMILES,Status,Output_File,Error
Generated_Neisseria_meningitidis_001,CC(C)CNc1cc(NS(=O)(=O)c2cccc(C3CCOCC3)c2)cc2c(Cl)[nH]nc12,Success,generated_neisseria_meningitidis_001_3d_coordinates.csv,
Generated_Neisseria_meningitidis_002,CCCC/C=C/C(=O)N[C@@H](Cc1cc(F)cc(FO)c1)C(=O)N[C@@H]1C(=O)N2CCO[C@H]2C(=O)N2CC[C@H](C)C[C@H]2C(=O)N[C@@H](C)C(=O)N2C[C@H](C)C[C@H]2C(=O)O[C@H]1C,Failed,,Error during conversion: Could not parse SMILES string
Generated_Neisseria_meningitidis_003,CCC/C=C/C=C/C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H]1COC(=O)[C@@H]2C[C@@H](C)CN2C(=O)[C@H](C)NC(=O)[C@H](C)N(CC)C(=O)[C@@H]2CCCN2C1=O,Success,generated_neisseria_meningitidis_003_3d_coordinates.csv,
Generated_Neisseria_meningitidis_004,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4NC[C@@]32C)/C1=C(\CCC=C(C)O)C(=O)O,Success,generated_neisseria_meningitidis_004_3d_coordinates.csv,
Generated_Neisseria_meningitidis_005,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](CC(O)(Cl)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(/C(=O)O)C(O)CC=C(C)C,Success,generated_neisseria_meningitidis_005_3d_coordinates.csv,
Generated_Neisseria_meningitidis_006,COc1cc(O)c2c(F)(c1C)C(=O)O(N)C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](CO)CSC2,Failed,,Error during conversion: Could not parse SMILES string
Generated_Neisseria_meningitidis_007,COC(=O)[C@@H]1CSCC2C(N)OC(O)CC2C(=O)OCC(NC(=O)OC(C)(C)C)C(=O)N1,Success,generated_neisseria_meningitidis_007_3d_coordinates.csv,
Generated_Neisseria_meningitidis_008,COC(=O)[C@@H]1CSCc2c(O)cc(O)c(C)c2C(=O)OCSC(=O)N1,Success,generated_neisseria_meningitidis_008_3d_coordinates.csv,
Generated_Neisseria_meningitidis_009,CC(=O)(O)NCC1(F)CN(c2ccc(N3CC[Si](C)(C)CC3)c(F)c2)C(=O)O1,Failed,,Error during conversion: Could not parse SMILES string
Generated_Neisseria_meningitidis_010,CC(NCc1ccc(-c2csc(NC(=N)NCC3CCCSC3)n2)o1)=OCl,Failed,,Error during conversion: Could not parse SMILES string
