Name,SMILES,Status,Output_File,Error
Generated_Streptococcus_pneumoniae_001,CC(=O)NC[C@H]1CN(C2(O)CSC(/C=C(\Br)c3ccc(C(C)=O)s3)C(F)C2)C(=O)O1,Success,generated_streptococcus_pneumoniae_001_3d_coordinates.csv,
Generated_Streptococcus_pneumoniae_002,CC[C@H]1OC(=O)[C@H](C)[C@@H](OCC#Cc2cncnn2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)/C(=N\OCc2ccccc2Cl)[C@H](C)N2OC(=O)O[C@]12C,Success,generated_streptococcus_pneumoniae_002_3d_coordinates.csv,
Generated_Streptococcus_pneumoniae_003,CC(=O)NC[C@@H]1OC(=O)N2c3ncc(-c4ccc(N)nc4)c(Cl)c3OC[C@@H]12,Success,generated_streptococcus_pneumoniae_003_3d_coordinates.csv,
Generated_Streptococcus_pneumoniae_004,CN(C)N1cncc(NC(=O)[C@@H]2CCCNN2C(=O)[C@H](CC2CCCC2)CN(O)C=O)n1,Failed,,Error during conversion: Could not parse SMILES string
Generated_Streptococcus_pneumoniae_005,CN1(F)CCN(c2cc3n(CCF)cc(C(=O)O)c(=O)c3(N)cc2F)CC1,Failed,,Error during conversion: Could not parse SMILES string
Generated_Streptococcus_pneumoniae_006,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)C2(O)O)O(C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(NCCCc3ccnc4ccc(OC)cc34)C(=O)O[C@]12C,Failed,,Error during conversion: Could not parse SMILES string
Generated_Streptococcus_pneumoniae_007,COc1ccc2ccc(=O)n3C[C@@H](CN4CCC(NCc5nnc6OCCOc6S5)CC4)c1(Cl)c23,Failed,,Error during conversion: Could not parse SMILES string
Generated_Streptococcus_pneumoniae_008,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)C(N)C(C)(O)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)N(C)C[C@H](CCl)[C@@H](O)[C@]1(C)O,Success,generated_streptococcus_pneumoniae_008_3d_coordinates.csv,
Generated_Streptococcus_pneumoniae_009,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)Cc2ccccn2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)/C(=N\OCC#Cc2cnc(N)nc2)[C@H](C)[C@H]2OC(=O)ON21C,Failed,,Error during conversion: Could not parse SMILES string
Generated_Streptococcus_pneumoniae_010,CCN(CC)C(=S)SSCc1(Cl)cccc(C)c1,Failed,,Error during conversion: Could not parse SMILES string
