Function Evaluation,Energy (Hartree)
1,-1382.3657394189402
2,-1382.5239559229565
3,-1382.5301771166187
4,-1382.428338858718
5,-1382.3673662670471
6,-1382.5313183890948
7,-1382.6273109183462
8,-1382.5045503776796
9,-1382.6024624828233
10,-1382.619532973675
11,-1382.6260498175113
12,-1382.6613568382577
13,-1382.6588982358141
14,-1382.6283498442838
15,-1382.6247916791444
16,-1382.5947413226459
17,-1382.6235980858557
18,-1382.4976254331837
19,-1382.5523276310362
20,-1382.3930678644042
21,-1382.5292781674432
22,-1382.6111213919446
23,-1382.580105022153
24,-1382.433089073872
25,-1382.5387790784653
26,-1382.6219554957913
27,-1382.6034185821475
28,-1382.6448708312496
29,-1382.6003601015652
30,-1382.6281918101415
31,-1382.6244544323383
32,-1382.6366230069211
33,-1382.6017127295322
34,-1382.73659715037
35,-1382.861530845752
36,-1382.7428260545696
37,-1382.7238327800433
38,-1382.8676501082816
39,-1382.9705308169966
40,-1382.9475317478764
41,-1382.9336060123815
42,-1382.9328017425055
43,-1382.9632181394081
44,-1382.935374240567
45,-1382.960560448602
46,-1382.907605117952
47,-1382.9587520788339
48,-1382.931750389127
49,-1382.935090269248
50,-1382.987631689838
