Function Evaluation,Energy (Hartree)
1,-2327.7626339376443
2,-2328.907687087447
3,-2329.9127647671107
4,-2330.250974009268
5,-2330.709049707117
6,-2330.848429005806
7,-2331.043351575041
8,-2331.048721211952
9,-2331.031364154453
10,-2330.9491178229287
11,-2330.959099881351
12,-2330.954482682278
13,-2330.9598851055057
14,-2331.024433043508
15,-2330.966417434857
16,-2331.034650234052
17,-2330.982071713164
18,-2330.7405649887282
19,-2331.643628893008
20,-2331.6766523807046
21,-2331.8277280327793
22,-2332.01494113502
23,-2332.0206438998703
24,-2332.0084445654875
25,-2332.028388489566
26,-2331.961456194247
27,-2331.9935205202837
28,-2331.9929912444995
29,-2331.9964984192384
30,-2331.9991286555614
31,-2332.0347865944964
32,-2332.0398810930137
33,-2332.0404322100126
34,-2331.7020591273467
35,-2331.9804295893814
36,-2332.0025813521747
37,-2331.9479518697462
38,-2332.029003863726
39,-2332.0319083534437
40,-2331.9755810000806
41,-2331.9943141156086
42,-2332.0245935402572
43,-2331.95233858116
44,-2331.965731178491
45,-2331.9620615365675
46,-2331.993933034298
47,-2331.989608656982
48,-2331.9801329377865
49,-2332.007979695974
50,-2332.442368575831
