Function Evaluation,Energy (Hartree)
1,-1358.9427764544378
2,-1359.1477027088642
3,-1359.3756882539
4,-1359.3699289873562
5,-1359.438141816356
6,-1359.4967380663068
7,-1359.53181237409
8,-1359.4902525192963
9,-1359.4965931437678
10,-1359.540394197242
11,-1359.5328159594683
12,-1359.5405684348223
13,-1359.5313645049266
14,-1359.5472884106189
15,-1359.513828529463
16,-1359.5366155627773
17,-1359.5368144147265
18,-1359.5725078114042
19,-1359.5695683796826
20,-1359.493527922903
21,-1359.6024329774434
22,-1359.665384476574
23,-1359.6508249966114
24,-1359.6214924412952
25,-1359.638158050148
26,-1359.6661171699452
27,-1359.6542769284222
28,-1359.619867615971
29,-1359.6647507129123
30,-1359.6472842760809
31,-1359.6547859258585
32,-1359.6385666119827
33,-1359.6327991777946
34,-1359.740186569367
35,-1359.5771880478787
36,-1359.677240813142
37,-1359.73024282659
38,-1359.7099666686026
39,-1359.7199251349402
40,-1359.7292325217077
41,-1359.71471709884
42,-1359.7201933902165
43,-1359.7169600621903
44,-1359.7183765611426
45,-1359.752647775085
46,-1359.736930265827
47,-1359.7242915437955
48,-1359.706054679579
49,-1359.7143854520655
50,-1359.8897289238494
