Function Evaluation,Energy (Hartree)
1,-4625.883719227578
2,-4625.949050334123
3,-4626.106244474943
4,-4626.079832335111
5,-4626.106436009888
6,-4626.161339334401
7,-4626.193247502991
8,-4626.1367638078655
9,-4626.207143107219
10,-4626.233774676234
11,-4626.2522625676065
12,-4626.254765079922
13,-4626.244835526777
14,-4626.254876772857
15,-4626.2247253759715
16,-4626.264146201881
17,-4626.259016011122
18,-4626.516005581113
19,-4626.487996345131
20,-4626.505489932901
21,-4626.54561136885
22,-4626.654570717074
23,-4626.633146467129
24,-4626.628923073536
25,-4626.629649274611
26,-4626.682234919394
27,-4626.658387666631
28,-4626.6493367033945
29,-4626.6665419216015
30,-4626.659269573694
31,-4626.645697967876
32,-4626.64172230592
33,-4626.660287279364
34,-4626.674279351423
35,-4626.556700311784
36,-4626.5932029796095
37,-4626.68326326249
38,-4626.670236121911
39,-4626.508531562934
40,-4626.688820129101
41,-4626.695618199617
42,-4626.706719029745
43,-4626.706762228053
44,-4626.714065644506
45,-4626.707021148903
46,-4626.705936235957
47,-4626.688884002083
48,-4626.707601947774
49,-4626.68908702944
50,-4626.833140034026
